Structure,ZPrior,MuPrior,SigmaPrior,Parameter,True,PosteriorMean,Bias,MSE,RMSE,Lower95CrI,Upper95CrI,Coverage,ESS_Bulk,Rhat,Divergences,ElapsedSeconds
Independent,Beta_2_2_constrained,"N(0,10²)",HalfCauchy_beta5,mu_omega,0.5,0.3123332333861041,-0.18766676661389592,0.03521881529131448,0.18766676661389592,0.12122984085301997,0.5116560137788404,True,2641.0,1.0,0,40.7860369682312
Independent,Beta_2_2_constrained,"N(0,10²)",HalfCauchy_beta5,sigma_omega,1.0,1.2649754056426172,0.26497540564261723,0.07021196559546955,0.26497540564261723,0.7677235686856687,1.62364707402901,True,1218.0,1.0,0,40.7860369682312
Independent,Beta_2_2_constrained,"N(0,10²)",HalfCauchy_beta5,sigma_direct,1.2,1.190091546948322,-0.009908453051677979,9.817744187730666e-05,0.009908453051677979,0.7023047293161885,1.598922171825392,True,1184.0,1.0,0,40.7860369682312
Independent,Beta_2_2_constrained,"N(0,10²)",HalfCauchy_beta5,sigma_collateral,0.8,0.8147915192809032,0.014791519280903165,0.00021878904263733008,0.014791519280903165,0.3316747763860186,1.2591826169672469,True,1386.0,1.0,0,40.7860369682312
Independent,Beta_2_2_constrained,"N(0,10²)",HalfCauchy_beta5,Z,,0.9451611450661334,,,,0.93624040900115,0.949492204672145,,2184.0,1.0,0,40.7860369682312
Independent,Beta_2_2_constrained,"N(0,10²)",HalfNormal_sigma2,mu_omega,0.5,0.31513597055949527,-0.18486402944050473,0.0341747093809798,0.18486402944050473,0.12080419791851169,0.5102374403779768,True,2567.0,1.0,0,39.937647104263306
Independent,Beta_2_2_constrained,"N(0,10²)",HalfNormal_sigma2,sigma_omega,1.0,1.2390388305521551,0.23903883055215513,0.05713956251174194,0.23903883055215513,0.6943380679374459,1.6022690396427448,True,1351.0,1.0,0,39.937647104263306
Independent,Beta_2_2_constrained,"N(0,10²)",HalfNormal_sigma2,sigma_direct,1.2,1.2125392004986406,0.012539200498640657,0.0001572315491451101,0.012539200498640657,0.7725505215963624,1.6281066538909479,True,1438.0,1.0,0,39.937647104263306
Independent,Beta_2_2_constrained,"N(0,10²)",HalfNormal_sigma2,sigma_collateral,0.8,0.8259133225960409,0.025913322596040844,0.000671500287966481,0.025913322596040844,0.35482829612136213,1.2960616324181704,True,1658.0,1.0,0,39.937647104263306
Independent,Beta_2_2_constrained,"N(0,10²)",HalfNormal_sigma2,Z,,0.9451503273472779,,,,0.9361558440131069,0.949511831294694,,1997.0,1.0,0,39.937647104263306
